observation_id,access,user_id,specie_id,specie_name,location_id,location_name,latitude,longitude,resource_id,resource_secondary_id,measurement_id,trait_id,trait_name,standard_id,standard_unit,methodology_id,methodology_name,value,value_type,precision,precision_type,precision_upper,replicates,notes
137954,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178907,142,Habitat type,10,cat,,,crest,raw_value,,,,,
137954,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178908,143,Water depth,9,m,,,2,median,1,range,3,,
137954,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178909,151,Season,10,cat,,,Nov,raw_value,,,,,
137954,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178910,155,Colony area,57,cm^2,,,638.8516194,raw_value,,,,,data from Figure 5d
137954,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178911,216,Colony fecundity,77,mm^3,,,33089.25,raw_value,,,,,data from Figure 5d
137953,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178902,142,Habitat type,10,cat,,,crest,raw_value,,,,,
137953,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178903,143,Water depth,9,m,,,2,median,1,range,3,,
137953,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178904,151,Season,10,cat,,,Nov,raw_value,,,,,
137953,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178905,155,Colony area,57,cm^2,,,614.4690317,raw_value,,,,,data from Figure 5d
137953,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178906,216,Colony fecundity,77,mm^3,,,24921.98,raw_value,,,,,data from Figure 5d
137950,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178887,142,Habitat type,10,cat,,,crest,raw_value,,,,,
137950,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178888,143,Water depth,9,m,,,2,median,1,range,3,,
137950,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178889,151,Season,10,cat,,,Nov,raw_value,,,,,
137950,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178890,155,Colony area,57,cm^2,,,350.1063598,raw_value,,,,,data from Figure 5d
137950,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178891,216,Colony fecundity,77,mm^3,,,13701.51,raw_value,,,,,data from Figure 5d
137949,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178882,142,Habitat type,10,cat,,,crest,raw_value,,,,,
137949,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178883,143,Water depth,9,m,,,2,median,1,range,3,,
137949,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178884,151,Season,10,cat,,,Nov,raw_value,,,,,
137949,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178885,155,Colony area,57,cm^2,,,311.3866577,raw_value,,,,,data from Figure 5d
137949,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178886,216,Colony fecundity,77,mm^3,,,12079.92,raw_value,,,,,data from Figure 5d
137947,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178872,142,Habitat type,10,cat,,,crest,raw_value,,,,,
137947,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178873,143,Water depth,9,m,,,2,median,1,range,3,,
137947,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178874,151,Season,10,cat,,,Nov,raw_value,,,,,
137947,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178875,155,Colony area,57,cm^2,,,266.1950651,raw_value,,,,,data from Figure 5d
137947,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178876,216,Colony fecundity,77,mm^3,,,5671.83,raw_value,,,,,data from Figure 5d
137944,1,9,68,Acropora gemmifera,178,Lizard Island,-14.6689,145.4594,192,,178857,142,Habitat type,10,cat,,,crest,raw_value,,,,,
