"","Species","trait_name","standard_unit","Meanvalue"
"1","Acanthastrea brevis","Abundance world","cat",NA
"2","Acanthastrea brevis","Coloniality","cat",NA
"3","Acanthastrea brevis","Depth lower","m",20
"4","Acanthastrea brevis","Depth upper","m",1
"5","Acanthastrea brevis","Eastern-most range edge","deg",157.07587275
"6","Acanthastrea brevis","Genus fossil age","mya",25.666
"7","Acanthastrea brevis","Genus fossil stage","cat",NA
"8","Acanthastrea brevis","Geographical region","cat",NA
"9","Acanthastrea brevis","Growth form Veron","cat",NA
"10","Acanthastrea brevis","Growth form typical","cat",NA
"11","Acanthastrea brevis","IUCN Red List category","cat",NA
"12","Acanthastrea brevis","Indo-Pacific faunal province","cat",NA
"13","Acanthastrea brevis","Northern-most range edge","deg",29.25917688
"14","Acanthastrea brevis","Ocean basin","cat",NA
"15","Acanthastrea brevis","Range size","km^2",29706830.895
"16","Acanthastrea brevis","Southern-most range edge","deg",-28.39133524
"17","Acanthastrea brevis","Species age phylogeny","mya",1.89528776986838
"18","Acanthastrea brevis","Substrate attachment","cat",NA
"19","Acanthastrea brevis","Water clarity preference","cat",NA
"20","Acanthastrea brevis","Wave exposure preference","cat",NA
"21","Acanthastrea brevis","Western-most range edge","deg",33.0761026
"22","Acanthastrea brevis","Zooxanthellate","cat",NA
"23","Acanthastrea echinata","Abundance GBR","cat",NA
"24","Acanthastrea echinata","Abundance world","cat",NA
"25","Acanthastrea echinata","Coloniality","cat",NA
"26","Acanthastrea echinata","Depth lower","m",43.3333333333333
"27","Acanthastrea echinata","Depth upper","m",8.33333333333333
"28","Acanthastrea echinata","Eastern-most range edge","deg",-137.3474436
"29","Acanthastrea echinata","Genus fossil age","mya",25.666
"30","Acanthastrea echinata","Genus fossil stage","cat",NA
"31","Acanthastrea echinata","Geographical region","cat",NA
"32","Acanthastrea echinata","Growth form Veron","cat",NA
"33","Acanthastrea echinata","Growth form typical","cat",NA
"34","Acanthastrea echinata","IUCN Red List category","cat",NA
"35","Acanthastrea echinata","Indo-Pacific faunal province","cat",NA
"36","Acanthastrea echinata","Life history strategy","cat",NA
"37","Acanthastrea echinata","Mode of larval development","cat",NA
"38","Acanthastrea echinata","Northern-most range edge","deg",36.03063196
"39","Acanthastrea echinata","Ocean basin","cat",NA
"40","Acanthastrea echinata","Oocyte size at maturity","µm",443
"41","Acanthastrea echinata","Range size","km^2",64652312.74
"42","Acanthastrea echinata","Sexual system","cat",NA
"43","Acanthastrea echinata","Southern-most range edge","deg",-36.54160431
"44","Acanthastrea echinata","Species age phylogeny","mya",2.47727808303031
"45","Acanthastrea echinata","Substrate attachment","cat",NA
"46","Acanthastrea echinata","Symbiodinium clade","cat",NA
"47","Acanthastrea echinata","Symbiodinium subclade","cat",NA
"48","Acanthastrea echinata","Water clarity preference","cat",NA
"49","Acanthastrea echinata","Water depth","m",5.33333333333333
"50","Acanthastrea echinata","Wave exposure preference","cat",NA
"51","Acanthastrea echinata","Western-most range edge","deg",26.9928024
"52","Acanthastrea echinata","Zooxanthellate","cat",NA
"53","Acanthastrea hemprichi","Abundance GBR","cat",NA
"54","Acanthastrea hemprichi","Abundance world","cat",NA
"55","Acanthastrea hemprichi","Coloniality","cat",NA
"56","Acanthastrea hemprichi","Depth lower","m",20
"57","Acanthastrea hemprichi","Depth upper","m",2
"58","Acanthastrea hemprichi","Eastern-most range edge","deg",154.56694813
"59","Acanthastrea hemprichi","Genus fossil age","mya",25.666
"60","Acanthastrea hemprichi","Genus fossil stage","cat",NA
"61","Acanthastrea hemprichi","Geographical region","cat",NA
"62","Acanthastrea hemprichi","Growth form Veron","cat",NA
"63","Acanthastrea hemprichi","Growth form typical","cat",NA
"64","Acanthastrea hemprichi","IUCN Red List category","cat",NA
"65","Acanthastrea hemprichi","Indo-Pacific faunal province","cat",NA
"66","Acanthastrea hemprichi","Northern-most range edge","deg",36.04402607
"67","Acanthastrea hemprichi","Ocean basin","cat",NA
"68","Acanthastrea hemprichi","Range size","km^2",29943279.33
"69","Acanthastrea hemprichi","Southern-most range edge","deg",-27.55811739
"70","Acanthastrea hemprichi","Species age phylogeny","mya",2.811674429
"71","Acanthastrea hemprichi","Substrate attachment","cat",NA
"72","Acanthastrea hemprichi","Symbiodinium clade","cat",NA
"73","Acanthastrea hemprichi","Symbiodinium subclade","cat",NA
"74","Acanthastrea hemprichi","Water clarity preference","cat",NA
"75","Acanthastrea hemprichi","Water depth","m",3
"76","Acanthastrea hemprichi","Wave exposure preference","cat",NA
"77","Acanthastrea hemprichi","Western-most range edge","deg",30.7355022
